event,response_id,target_id,interaction_type,label,label_expanded,Confidence_Level,response_text,target_text,truncated
Santa_Fe_Shooting,997626508050157568,997598447376175104,Quote,Support,Implicit_Support,1.0,"Seriously, wtf is wrong with our political system! Politicians are supposed to represent the people, not the NRA or the highest bidder. #bluewave #VoteThemAllOut https://t.co/Zp0omoxxEr",More children have been killed in schools this year than those serving in the military. Let that sink in!,False
Santa_Fe_Shooting,997575042027458561,997573240380968961,Quote,Denial,Explicit_Denial,1.0,Ma calls BS! https://t.co/bodEWN5Q4C,Former GOP Rep. Jason Chaffetz: 'Politically correct culture' to blame for shooting https://t.co/mjagRQZQfr by @EricBoehlert,False
Santa_Fe_Shooting,997540582846271494,997535659870117888,Quote,Denial,Explicit_Denial,1.0,"On average, there’s one fake stat about school shootings by idiots on the left every 30 seconds. This is one of them. https://t.co/wdpaotVdW2","On average, that’s one school shooting every week this year in the USA. Why was nothing done after the first to prevent the rest? Will something be done by those in power now? How many murders does it take to make someone listen? Thoughts and love with everyone in Texas. 🖤",False
Santa_Fe_Shooting,997555054621048832,997527188835651585,Quote,Comment,Comment,-1.0,Despite illegal WITCHUNT! blah blah blah MOST SUCCESSFUL Madministration THE BESTEST IN FACT! blah blah blah FAKE NEWS! blah blah blah ....squirrel! https://t.co/wIvFUWDwB1,"THIS WEEK —North Korea setback —Kushner/Qatar —Israel/Gaza —Trump/Cohen/$ —Wilkie pick for VA —Mueller 1yr —TX school shooting —PA/OR/ID/NE primaries —Trump/""animals"" —Haspel confirmed —21st circuit judge —Trump abortion rule —NAFTA/China talks —Pruitt fallout —Farm bill crashes",False
General_Terms,1018569947817992192,1017909301040635904,Quote,Denial,Implicit_Denial,1.0,ONE MIGHT BE MADE UP AND NOT REAL. NOT SURE. STILL RESEARCHING. https://t.co/K95ok4KWjT,"I’m so confused... - When we were attacked on 9/11, Americans came together in the strongest show of support our country has ever seen... - When we get attacked by Russia, half the country denies it even happened let alone fight against it... Clearly something is wrong here.",False
General_Terms,1019395289575239680,1017919759474622464,Quote,Denial,Explicit_Denial,1.0,"False, adult friendships are M-F, 9-5 https://t.co/EzjUH1sICH",Adult friendships https://t.co/Cn3r9l4pZJ,False
General_Terms,1018567028683300865,1017851891932450816,Quote,Support,Implicit_Support,1.0,"Republicans know that their policies are despised by the American people, so the lie, cheat, and steal to make sure that democracy is a farce and to ensure their minority rule. https://t.co/E03DJY7uKu","NH's GOP governor just signed a GOP law imposing new restrictions on voting eligibility: Being domiciled in NH is no longer sufficient, you will also need to meet the qualifications of a ""resident."" This will likely mean many college students don't vote. https://t.co/E8G4Jrhooc https://t.co/uo8chrMmQY",False
General_Terms,1018328768195284992,1017485864375480320,Quote,Denial,Explicit_Denial,1.0,The stupid comments on this tweet - some people just refuse to see the exaggerations and the lies. https://t.co/8Pvu4xuV49,"Guys, first moves are over. Women, it’s all you now. You have to call us, send us gifts, do all the asking out and paying for dinner, make the first move, and provide consent paperwork in triplicate for the goodnight kiss. We quit. https://t.co/4PVdYZCKDc",False
Santa_Fe_Shooting,994891361429131270,994741993413623808,Quote,Denial,Explicit_Denial,1.0,"This is not true. @nra supporters like to make this claim, but there is no evidence to support it. Regardless, the current racist policies and rhetoric of the @NRA are what matter today. https://t.co/295yioqZG6 https://t.co/ISyiLLhIIf","“If they wanna march against something, how about marchin against @TheDemocrats who created the KKK and the Jim Crow days. I thank God because it was the NRA that helped my ancestors protect and defend themselves.” –@DiamondandSilk #NRA https://t.co/E03vaPILrf",False
Santa_Fe_Shooting,995750723253088258,995695964999569408,Quote,Denial,Explicit_Denial,1.0,“I think the only people who are going to be offended are the NRA.” Wrong. https://t.co/eZsc0AJObG,Dem Congressional Candidate Says ‘F**k the NRA’ in New Campaign Ad https://t.co/iRkiYkxRJV https://t.co/LtjX0uEuyh,False
Santa_Fe_Shooting,994967924774498304,994260543144972289,Quote,Denial,Explicit_Denial,1.0,Kamala spread her legs &amp; lies all the way to the top. She can't stand to see strong women break glass ceilings in… https://t.co/9ZaT9iU8yZ,"I asked Trump nominee Gina Haspel four different times whether she believe the CIA’s previous interrogation techniques, like waterboarding, were immoral. She repeatedly declined to answer. https://t.co/UhH0j3U4uY",True
General_Terms,1018197208967942145,1018185749924020224,Quote,Denial,Explicit_Denial,1.0,"Hi @GOPChairwoman r u inspired #JosephGobbels ie 2 tel a lie 100 times &amp; it becomes truth, were is the proof of Russian involvement in ur elections cc @Politicallyin18 @lbrot1 @EternalRiteWing @Txwench @StillUSA1st @KAFosterSowell @shelliecorreia @ConsrvativeDiva @CancerSucksss https://t.co/vchJbsuR7d","President Obama mocked the notion that Russia was a threat in 2012, and then fell asleep at the wheel as Russia attacked our electoral system in 2016. Why aren’t Democrats and the mainstream media outraged at him?",False
General_Terms,1019064170770305025,1018956785737224193,Quote,Denial,Explicit_Denial,1.0,"We have and we believe our president and do not believe the bull shit coming out of the ( intell ) community, you all are a bunch of lying traitors ! https://t.co/AyQVRAkCh7","Our President today not only chose a tyrant over his own Intel community, he chose Russia’s interests over the country he is sworn to protect. All Americans should raise their voices. Let the world know what we stand for.",False
General_Terms,1018925261587468288,1018883253653196801,Quote,Denial,Explicit_Denial,1.0,"Ari, I usually find your take refreshing and evenhanded. You're wrong this time. Americans DO NOT TRUST OBAMA'S INTELLIGENCE AGENCY and the made up Russian b.s. https://t.co/auvIPpURVL","The problem w Trump’s approach to Russian interference in our election is he sees it only through the lense of whether he won or lost. He did win, but that shouldn’t blind him to how wrong it was for Russia to interfere. I believe Mueller &amp; the intell community. Trump should too.",False
General_Terms,1018953438749585409,1018883595463622662,Quote,Denial,Implicit_Denial,1.0,#Rather your a #liar remember you were #fired now a #propaganda #mouth? https://t.co/SW7BOl27S9,"The President of the United States trusts the word of a former KGB agent over the consensus of the American intelligence community backed by a ton of facts. That is a shocking reality. Everyone who excuses Trump’s behavior must answer that now, and when history inevitably judges.",False
General_Terms,1018943912617136129,1018923997692596224,Quote,Denial,Implicit_Denial,1.0,where’s the gaslight emoji https://t.co/0vNFdjHaRw,"VP PENCE: ""what the world saw, what the American people saw, is that President Donald Trump will always put the prosperity and security of America first.""",False
